home,away,home_mov,home_location,away_location
Boston Celtics,Philadelphia 76ers,18,"[-71.0588801 42.3600825, 0]","[-75.1652215 39.9525839, 0]"
Golden State Warriors,Oklahoma City Thunder,8,"[-122.4194155 37.7749295, 0]","[-97.5164276 35.4675602, 0]"
Charlotte Hornets,Milwaukee Bucks,-1,"[-80.8431267 35.2270869, 0]","[-87.9064736 43.0389025, 0]"
Detroit Pistons,Brooklyn Nets,3,"[-83.0457538 42.331427, 0]","[-73.9441579 40.6781784, 0]"
Houston Rockets,New Orleans Pelicans,-19,"[-95.3698028 29.7604267, 0]","[-90.0715323 29.9510658, 0]"
Indiana Pacers,Memphis Grizzlies,28,"[-86.1349019 40.2671941, 0]","[-90.0489801 35.1495343, 0]"
Los Angeles Clippers,Denver Nuggets,-9,"[-118.2436849 34.0522342, 0]","[-104.990251 39.7392358, 0]"
New York Knicks,Atlanta Hawks,19,"[-74.0059728 40.7127753, 0]","[-84.3879824 33.7489954, 0]"
Orlando Magic,Miami Heat,3,"[-81.3792365 28.5383355, 0]","[-80.1917902 25.7616798, 0]"
Phoenix Suns,Dallas Mavericks,21,"[-112.0740373 33.4483771, 0]","[-96.7969879 32.7766642, 0]"
Sacramento Kings,Utah Jazz,-6,"[-121.4943996 38.5815719, 0]","[-111.0937311 39.3209801, 0]"
San Antonio Spurs,Minnesota Timberwolves,4,"[-98.4936282 29.4241219, 0]","[-94.6858998 46.729553, 0]"
Toronto Raptors,Cleveland Cavaliers,12,"[-79.3831843 43.653226, 0]","[-81.6943605 41.49932, 0]"
Philadelphia 76ers,Chicago Bulls,19,"[-75.1652215 39.9525839, 0]","[-87.6297982 41.8781136, 0]"
Portland Trail Blazers,Los Angeles Lakers,9,"[-122.6750261 45.5051064, 0]","[-118.2436849 34.0522342, 0]"
Washington Wizards,Miami Heat,-1,"[-77.0368707 38.9071923, 0]","[-80.1917902 25.7616798, 0]"
Brooklyn Nets,New York Knicks,2,"[-73.9441579 40.6781784, 0]","[-74.0059728 40.7127753, 0]"
Los Angeles Clippers,Oklahoma City Thunder,16,"[-118.2436849 34.0522342, 0]","[-97.5164276 35.4675602, 0]"
Memphis Grizzlies,Atlanta Hawks,14,"[-90.0489801 35.1495343, 0]","[-84.3879824 33.7489954, 0]"
Milwaukee Bucks,Indiana Pacers,17,"[-87.9064736 43.0389025, 0]","[-86.1349019 40.2671941, 0]"
Minnesota Timberwolves,Cleveland Cavaliers,8,"[-94.6858998 46.729553, 0]","[-81.6943605 41.49932, 0]"
New Orleans Pelicans,Sacramento Kings,20,"[-90.0715323 29.9510658, 0]","[-121.4943996 38.5815719, 0]"
Orlando Magic,Charlotte Hornets,-32,"[-81.3792365 28.5383355, 0]","[-80.8431267 35.2270869, 0]"
Toronto Raptors,Boston Celtics,12,"[-79.3831843 43.653226, 0]","[-71.0588801 42.3600825, 0]"
